ROWNUMBER|ITEMID|TITLEFULL
1040|18741|Moonstruck
1041|18903|The Natural
1042|17166|Good Boy!
1043|17171|The Good Girl
1044|17720|In the Woods
1045|17064|Georgia
1046|10254|Goldfish Memory
1047|15005|The Alamo
1048|15380|Best in Show
1049|18863|My Giant
1050|15787|Car Wash
1051|17605|Hysterical
1052|21078|Welcome to Mooseport
1053|19296|The Phantom Planet
1054|15519|Bliss
1055|21317|You Only Live Twice
1056|21801|Lost in Translation
1057|21399|Akira
1058|18374|Love Letter
1059|18799|Mujhse Shaadi Karogi
1060|19751|Rocky V
1061|17304|Halloween III: Season of the Witch
1062|17393|Heaven Help Us
1063|13622|Heartbreak Hotel
1064|18700|Modern Times
1065|13754|Beverly Hills Cop III
1066|16863|Flame of Barbary Coast
1067|19919|Scream Blacula Scream
1068|16316|Deathtrap
1069|20180|So I Married an Axe Murderer
1070|19963|Serpico
1071|15130|Any Which Way You Can
1072|19300|The Phantom
1073|20065|Showgirls
1074|18984|No Mans Land
1075|17554|How High
1076|16364|Desperate Living
1077|18976|No Alibi
1078|18779|Mr. Mom
1079|20533|Tango & Cash
1080|11807|The Girl on a Motorcycle
1081|17739|Indochine
1082|20158|Smileys People
1083|17112|Girl with a Pearl Earring
1084|20624|This Sporting Life
1085|18083|Labyrinth
1086|12236|The Statement
1087|19866|Santa Fe Trail
1088|20837|Turbulence
1089|20069|Siam Sunset
1090|17496|Homicidal
1091|20327|Stay Tuned
1092|14950|The AbsentMinded Professor
1093|19044|The Octagon
1094|20680|Titus
1095|21654|GoldenEye
1096|22043|Star Trek: Nemesis
1097|19055|Off Limits
1098|20974|Veronica Guerin
1099|22114|Undertow
1100|18038|Kiss Me, Stupid
1101|20746|Town Without Pity
1102|17512|Hope Springs
1103|16460|Dodge City
1104|19453|The Private Lives of Elizabeth and Essex
1105|19925|The Sea Hawk
1106|21366|Of Human Bondage
1107|15433|The Big Trees
1108|16018|Coma
1109|16041|The Computer Wore Tennis Shoes
1110|15160|Arthur
1111|21798|The Lord of the Rings: The Fellowship of the Ring
1112|19815|Rush Hour 2
1113|18685|Mission: Impossible II
1114|18640|Midnight Madness
1115|15829|The Cat from Outer Space
1116|17294|Hairspray
1117|19250|Pecker
1118|14910|3 Ninjas Kick Back
1119|19677|Reversal of Fortune
1120|21996|Sense and Sensibility
1121|17061|George Washington
1122|17012|Funny Lady
1123|16474|Don
1124|18570|Meet the Fockers
1125|19731|Robinson Crusoe
1126|17511|Hope Floats
1127|8635|Friends and Family
1128|16251|Date with an Angel
1129|21623|Foreign Correspondent
1130|18835|The Muse
1131|18862|My First Mister
1132|15335|Before Sunset
1133|21900|Patton
1134|15630|Breakfast of Champions
1135|15135|Apocalypse Now
1136|16726|The Fabulous Baker Boys
1137|22269|Path to War
1138|15431|Big Top Pee-wee
1139|17589|The Hunt for the Unicorn Killer
1140|15797|Carman: The Champion
1141|17631|I Spy
1142|19757|Roller Boogie
1143|15018|Alien from L.A.
1144|21507|Cleopatra Jones
1145|16525|Dragonslayer
1146|17635|I Wanna Hold Your Hand
1147|21550|Deeply
1148|18317|Longshot
1149|19703|Rio Grande
1150|14890|The 13th Warrior
1151|22180|Dancer in the Dark
1152|16183|Curse of the Puppet Master
1153|15223|The Babysitter
1154|16737|Fall Time
1155|12685|Halloweentown High
1156|21302|Year of the Gun
1157|18604|Men of War
1158|14974|The Adventures of Huck Finn
1159|4704|Reilly: Ace of Spies
1160|18613|Mercury Rising
1161|19410|Prelude to a Kiss
1162|20145|Sleuth
1163|19355|Playing by Heart
1164|16165|The Cruel Sea
1165|21628|Frenzy
1166|21785|Licence to Kill
1167|17890|Joes Apartment
1168|21228|Wishmaster 4: The Prophecy Fulfilled
1169|16330|Deep Impact
1170|14365|Dersu Uzala
1171|19033|The Nutty Professor
1172|20520|The Talented Mr. Ripley
1173|18097|Ladyhawke
1174|21346|Zero Effect
1175|19961|The Serpent and the Rainbow
1176|17757|Inspector Gadget 2
1177|19398|Powder
1178|16327|Deep Cover
1179|16189|Cyborg
1180|16003|Coffee and Cigarettes
1181|17788|Irma Vep
1182|20497|Swingers
1183|16833|Fire Down Below
1184|15764|Campfire Tales
1185|20409|The Stupids
1186|15205|B*A*P*S
1187|17368|He Died with a Felafel in His Hand
1188|18290|Local Hero
1189|15771|Cannonball Run II
1190|21153|White Men Cant Jump
1191|17125|The Glimmer Man
1192|19345|The Plague of the Zombies
1193|22179|Confidence
1194|17372|He Said, She Said
1195|17918|Juice
1196|14934|8 Seconds
1197|16083|The Corner
1198|16745|Family Plot
1199|10135|The Conversation
1200|16384|The Devil at 4 OClock
1201|19625|Reign of Fire
1202|21956|The Road to Wellville
1203|21799|The Lord of the Rings: The Return of the King
1204|22246|Sixteen Candles
1205|16512|Dracula 3000
1206|22264|The Hot Chick
1207|17681|The Importance of Being Earnest
1208|18397|Loverboy
1209|20893|Under the Cherry Moon
1210|16970|French Connection II
1211|20827|Tuck Everlasting
1212|18636|Mickey Blue Eyes
1213|19190|The Pagemaster
1214|14996|Air Bud: Spikes Back
1215|19315|Picking Up the Pieces
1216|16761|Farinelli
1217|20774|The Treasure of the Sierra Madre
1218|21464|Boogie Nights
1219|21784|The Librarian: Quest for the Spear
1220|19597|Rear Window
1221|15186|The Attic Expeditions
1222|21514|Constantine
1223|21322|Young Einstein
1224|19089|On the Town
1225|21128|Where Angels Go, Trouble Follows
1226|15123|Another Woman
1227|18300|Lone Star State of Mind
1228|15953|Citizen Ruth
1229|14972|The Adventures of Elmo in Grouchland
1230|20508|Sylvia
1231|22083|Tightrope
1232|15051|American Beauty
1233|22139|White Oleander
1234|16703|Exit to Eden
1235|15987|Clockwise
1236|15527|Blood Work
1237|18780|Mr. Murder
1238|16004|Coffy
1239|16903|Food of Love
1240|21063|The Way We Live Now
1241|19926|The Sea Wolves
1242|15760|Camille
1243|17724|The Incredible Hulk Returns
1244|19618|Redneck Zombies
1245|15995|Cobb
1246|20663|Tim
1247|19833|Safe
1248|17891|Johnny Be Good
1249|18662|The Minion
1250|17415|Hellraiser
1251|17428|Herbie Fully Loaded
1252|16378|Deuce Bigalow: Male Gigolo
1253|21635|From the Terrace
1254|18061|Krakatoa, East of Java
1255|16992|The Front Page
1256|16677|Ethan Frome
1257|21872|The Notebook
1258|21693|The Hot Rock
1259|21748|Jungle 2 Jungle
1260|18623|Meteor
1261|21989|The Scorpion King
1262|20322|State and Main
1263|19941|The Secret Garden
1264|18291|Lock Up
1265|20155|Small Time Crooks
1266|21107|Whats New, Pussycat
1267|14100|Summer of 42
1268|18647|Mighty Joe Young
1269|11489|Two Ninas
1270|19454|Private Parts
1271|21601|Faithful
1272|11141|16 Years of Alcohol
1273|18619|Messenger of Death
1274|22117|Universal Soldier
1275|20714|The Tommyknockers
1276|19115|Only Angels Have Wings
1277|18277|Little Women
1278|17896|Johnson Family Vacation
1279|16440|Disappearing Acts
1280|21830|Men in Black II
1281|19670|Revelation
1282|18543|The Mask of Zorro
1283|21428|Bastard Out of Carolina
1284|18776|Mr. Jones
1285|20688|To Gillian on Her 37th Birthday
1286|18030|Kingpin
1287|19846|Salsa
1288|16265|The Day of the Locust
1289|16430|Dirty Dancing
1290|20399|Striptease
1291|20042|The Shipping News
1292|16454|Doc Hollywood
1293|15964|Clambake
1294|17475|Hocus Pocus
1295|19318|Picnic at Hanging Rock
1296|16488|The Door in the Floor
1297|17041|The Garbage Pail Kids Movie
1298|17674|Imaginary Crimes
1299|20510|Taboo
1300|21096|What Lies Beneath
1301|18703|Modigliani
1302|20822|Truman
1303|16572|Earth vs. the Spider
1304|18591|Megiddo: The Omega Code 2
1305|20768|Trapped in Paradise
1306|16374|Deterrence
1307|20084|Silsila
1308|20672|The Times of Harvey Milk
1309|21134|Where the Money Is
1310|21722|In Good Company
1311|16304|Death Hunt
1312|18941|Next Friday
1313|16778|Father of the Bride
1314|19541|The Rage: Carrie 2
1315|22119|Uptown Girls
1316|16808|Field of Dreams
1317|16517|Dracula: Dead and Loving It
1318|20691|To Hell and Back
1319|13923|Darr
1320|16148|Critters 4
1321|18682|Missing in Action
1322|20803|Trois
1323|21028|Walk on the Wild Side
1324|17903|The Journey of Natty Gann
1325|20301|Star 80
1326|19465|Promised Land
1327|16874|Fled
1328|16203|Dad
1329|17497|Homicide: The Movie
1330|16262|Day of the Dead 2: Contagium
1331|18658|Milo
1332|19202|Panic
1333|19105|One Night at McCools
1334|16969|Freeze Frame
1335|19201|Pandaemonium
1336|15083|Anastasia
1337|15218|Babylon 5: In the Beginning
1338|20771|Treasure Island
1339|15341|Being Julia
1340|22226|The Passion of Ayn Rand
1341|19548|Rain Man
1342|21159|White Squall
1343|20171|Sniper 2
1344|18803|Mulholland Falls
1345|19573|The Rapture
1346|15810|Carrie
1347|19675|Revengers Tragedy
1348|20689|To Grandmothers House We Go
1349|20769|Traveller
1350|21570|The Doors
1351|7294|Rat
1352|16014|Color of Night
1353|18665|The Miracle Worker
1354|20936|V: The Final Battle
1355|15861|Chances Are
1356|19433|Prime Suspect 2
1357|21479|Brideshead Revisited
1358|15136|Apollo 13
1359|15297|Battle of Britain
1360|15429|The Big Sleep
1361|22190|Eraser
1362|16666|Ernest Goes to Jail
1363|21297|Yanks
1364|18332|Lords of Dogtown
1365|15214|Baby Boom
1366|19431|Prime Cut
1367|21020|Waiting to Exhale
1368|16977|Friday
1369|18957|Night Train to Terror
1370|18193|Legend of the Lost
1371|22126|Very Bad Things
1372|21248|Wizards
1373|20506|Swordfish
1374|16960|Freaks
1375|15406|Big Bad Mama
1376|20321|State Property 2
1377|18114|Lantana
1378|16653|Enigma
1379|22262|Gaslight
1380|14992|Agnes Browne
1381|18303|Lonesome Dove
1382|19064|Oklahoma!
1383|9504|Apache
1384|20971|Vera Cruz
1385|15224|The Bachelor and the Bobby-Soxer
1386|20165|Snake Eyes
1387|20345|Stigmata
1388|18859|My Favorite Brunette
1389|19261|Penny Serenade
1390|18494|The Man in the Gray Flannel Suit
1391|17865|Jeffrey
1392|20366|Storyville
1393|16792|The Fear
1394|20335|Steel Magnolias
1395|19077|The Omega Man
1396|20702|Tom & Viv
1397|16412|Digimon: The Movie
1398|15890|Chasing Liberty
1399|17233|Grey Owl
1400|15928|Chopper
1401|21567|Dont Bother to Knock
1402|15619|Brannigan
1403|17666|Im Gonna Git You Sucka
1404|15609|The Boys from Brazil
1405|20325|The Station Agent
1406|18952|Night Moves
1407|22048|The Stepford Wives
1408|17942|Just One of the Guys
1409|15508|Blaze
1410|17454|High Plains Drifter
1411|18152|Last Train from Gun Hill
1412|15758|Camelot
1413|16972|The French Lieutenants Woman
1414|18656|Million Dollar Baby
1415|16456|Doctor Dolittle
1416|20675|The Tin Star
1417|19061|Oh, God! You Devil
1418|20817|True Crime
1419|16394|DiG!
1420|17803|It
1421|15650|Bride of the Wind
1422|17204|Gray Lady Down
1423|18759|Moulin Rouge!
1424|20683|To Catch a Thief
1425|19080|On Deadly Ground
1426|21961|Roger Dodger
1427|17943|Just Visiting
1428|16904|Fool for Love
1429|16770|Fat City
1430|15563|The Bodyguard
1431|22008|Sherlock Holmes in Washington
1432|15654|Bridget Joness Diary
1433|18686|The Missionary
1434|18981|No Escape
1435|21787|Life and Debt
1436|21658|The Grapes of Wrath
1437|18258|Little Caesar
1438|22169|The Beast Within
1439|21871|Not Another Teen Movie
1440|21126|When the Partys Over
1441|16878|Flesh for Frankenstein
1442|15118|Annie Get Your Gun
1443|16671|Escape from Alcatraz
1444|16044|Conan the Destroyer
1445|19397|Pot o Gold
1446|15061|American Ninja
1447|18345|Lost Highway
1448|15201|The Aviator
1449|20252|Speaking Parts
1450|20259|Spellbound
1451|17349|Harry and Tonto
1452|18815|The Muppets Take Manhattan
1453|20271|The Spoilers
1454|16155|Cross of Iron
1455|21325|The Young Lions
1456|20026|Sherlock Holmes Faces Death
1457|19523|The Quiet Man
1458|15225|The Bachelor
1459|19504|Quadrophenia
1460|20181|So Little Time
1461|16541|Drop Dead Fred
1462|19717|Road to Bali
1463|17279|Gus
1464|17883|Joan of Arc
1465|20087|Silver Streak
1466|21249|Wolf
1467|15831|Catch That Kid
1468|20720|Top Dog
1469|18561|Maximum Overdrive
1470|18559|Max Dugan Returns
1471|21331|Youve Got Mail
1472|22188|Down with Love
1473|15439|Biker Boyz
1474|7537|Scooby-Doo and the Witchs Ghost
1475|13969|Tony Rome
1476|19358|Please Dont Eat the Daisies
1477|15428|The Big Sleep
1478|18403|Lucky
1479|10399|The Astronauts Wife
1480|19697|The Ring Virus
1481|17972|Katzelmacher
1482|21929|Python
1483|22136|We Were Soldiers
1484|22247|South Pacific
1485|13012|976-EVIL
1486|17639|I, Claudius
1487|19942|Secret Honor
1488|15782|Captain Kidd
1489|21130|Where the Boys Are
1490|21405|American Gothic
1491|15672|Broken Arrow
1492|16789|Fear and Loathing in Las Vegas
1493|15191|Auntie Mame
1494|18227|The Life of Emile Zola
1495|19722|Road to Utopia
1496|15241|The Bad and the Beautiful
1497|21329|Youngblood
1498|4959|The Smashing Machine
1499|15652|Bridge of Dragons
1500|12938|All of Me
1501|19265|People Will Talk
1502|17451|High Fidelity
1503|11478|Devils Pond
1504|22140|Wicked
1505|17833|The Jackie Robinson Story
1506|18198|Lenny
1507|15479|Black Dog
1508|18960|The Night of the Hunter
1509|21692|Home Movie
1510|21511|Coming Home
1511|20927|Uptown Saturday Night
1512|15367|Bent
1513|18159|The Last of the Blonde Bombshells
1514|16596|The Edge of the World
1515|16911|For Me and My Gal
1516|16420|Dillinger
1517|21006|Voodoo Academy
1518|15344|The Believers
1519|20662|Tillies Punctured Romance
1520|20579|Terminal Velocity
1521|18106|The Land Before Time II: The Great Valley Adventure
1522|18107|The Land Before Time III: The Time of the Great Giving
1523|21848|Moulin Rouge
1524|21440|The Big Chill
1525|20489|The Swimmer
1526|19133|The Original Kings of Comedy
1527|18296|Lolita
1528|19199|Palmetto
1529|20316|Starship Troopers 2: Hero of the Federation
1530|16280|Dead Calm
1531|18557|Mauvais sang
1532|19266|The People vs. Larry Flynt
1533|7682|The End of the Affair
1534|22115|Unforgettable
1535|19962|The Serpents Kiss
1536|17622|I Like It Like That
1537|19316|Pickup on South Street
1538|20420|Suddenly
1539|21486|The Bug
1540|19854|Sayonara
1541|20873|The Ugly
1542|16568|DysFunktional Family
1543|20788|The Trials of Henry Kissinger
1544|15706|Bullets Over Broadway
1545|19350|Play Misty for Me
1546|14603|Flypaper
1547|16263|The Day of the Dolphin
1548|17137|Go West
1549|11292|The Business of Strangers
1550|18701|The Moderns
1551|16791|Fear of the Dark
1552|15483|Black Narcissus
1553|19711|River of No Return
1554|18274|The Little Shop of Horrors
1555|18736|Moon Child
1556|5796|Bad Girls
1557|17008|Funny Bones
1558|19306|The Philadelphia Story
1559|18868|My Own Private Idaho
1560|21773|The Last Time I Saw Paris
1561|20101|Singin in the Rain
1562|14373|Animal Crackers
1563|17517|Horse Feathers
1564|18719|Monkey Business
1565|15932|Chris Rock: Bigger & Blacker
1566|21192|Wild in the Country
1567|15641|The Breaks
1568|21013|Waco: The Rules of Engagement
1569|8019|Heaven Knows, Mr. Allison
1570|19068|Oleanna
1571|6807|Fata Morgana
1572|19119|Onmyoji
1573|17595|The Hunting of the President
1574|16063|Control Room
1575|14325|Tupac: Resurrection
1576|7300|Ivanhoe
1577|19179|Overnight
1578|20230|The Source
1579|22261|Fritz the Cat
1580|17963|Karan Arjun
1581|8124|9 Souls
1582|18765|Mr India
1583|7560|All or Nothing
1584|11875|Guilty by Association
1585|9216|My Flesh and Blood
1586|21345|Zero Day
1587|16689|Everyday People
1588|20884|Uncovered: The War on Iraq
1589|19736|Robotech
1590|19905|Schizopolis
1591|5665|Style Wars
1592|16403|Diary of a Sex Addict
1593|21720|The In Crowd
1594|16672|Escape from L.A.
1595|18757|Motives
1596|16544|Drop Zone
1597|20641|Three of Hearts
1598|16828|Fingers
1599|17055|The Generals Daughter
1600|21536|Dawn of the Dead
1601|19294|Phantasm
1602|22017|Skins
1603|21460|Body Heat
1604|17704|In the Bedroom
1605|17397|Heavens Prisoners
1606|17312|The Handmaids Tale
1607|21144|White Chicks
1608|20170|Sniper
1609|16024|Comes a Horseman
1610|22090|Tom Jones
1611|17025|Galaxina
1612|21689|Hollow Man
1613|17603|Hype!
1614|21752|Kill Bill: Vol. 1
1615|18771|Mr. Death: The Rise and Fall of Fred A. Leuchter, Jr.
1616|15941|Cinderella
1617|17336|Hard Rain
1618|15848|Celtic Pride
1619|16513|Dracula A.D. 1972
1620|16103|Courage Under Fire
1621|16751|Fandango
1622|20387|Street Fighter
1623|19490|Pure Country
1624|16177|The Cure
1625|21265|Woo
1626|19532|Race with the Devil
1627|22223|O Brother, Where Art Thou?
1628|16621|Eloise at the Plaza
1629|17095|Ghulam
1630|6129|Run the Wild Fields
1631|15996|Cobra
1632|15133|Anywhere But Here
1633|21469|Bounce
1634|16296|The Dead Zone
1635|19156|Out of Order
1636|16081|The Core
1637|21410|Austin Powers in Goldmember
1638|21103|Whatever It Takes
1639|17241|Groove
1640|16198|D3: The Mighty Ducks
1641|16587|Ed Wood
1642|21973|Sabrina, the Teenage Witch
1643|14906|25th Hour
1644|14918|40 Days and 40 Nights
1645|14970|Adventures in Babysitting
1646|19740|Hellboy
1647|16742|Falling in Love
1648|15926|Chocolat
1649|22176|Bronco Billy
1650|20905|Unfaithfully Yours
1651|18404|Lucky Break
1652|20425|Suite 16
1653|17062|George of the Jungle
1654|20297|The Stand
1655|15528|Blood from the Mummys Tomb
1656|20934|Uzumaki
1657|18214|Levity
1658|15158|Art Heist
1659|20196|Something the Lord Made
1660|16133|Creepshow
1661|18887|Naked
1662|21201|Wimbledon
1663|21332|Yuva
1664|17955|Kaho Naa... Pyaar Hai
1665|20564|Teknolust
1666|15879|Charlotte Gray
1667|19630|The Remains of the Day
1668|21223|Wish You Were Here
1669|18430|Madame Bovary
1670|21686|His Girl Friday
1671|15637|Breaking Up
1672|17155|Gol Maal
1673|18659|Mimic
1674|21744|Johnny Mnemonic
1675|21886|Original Sin
1676|18578|Mean Machine
1677|15236|The Bad News Bears Go to Japan
1678|15410|Big Bully
1679|21542|Dead Man Walking
1680|22074|Texas Rangers
1681|17412|Hello Again
1682|17847|Jane Eyre
1683|16715|Extreme Ops
1684|20060|Shot in the Heart
1685|16001|Cocoon: The Return
1686|17747|Innocent Blood
1687|17588|The Hunt for Red October
1688|21781|Lethal Weapon 2
1689|19284|Persuasion
1690|19864|The Santa Clause 2
1691|15157|Arsenic and Old Lace
1692|21024|Waking Up in Reno
1693|17086|Ghost Lake
1694|15354|Belly of the Beast
1695|18849|My Bodyguard
1696|21885|Ordinary People
1697|20162|Smoke Signals
1698|17087|Ghost Ship
1699|20262|Spiderbabe
1700|18958|Night and Day
1701|18525|Marci X
1702|18276|Little Voice
1703|18482|The Man Who Knew Too Little
1704|19412|The Presidents Man
1705|16763|Fascination
1706|17604|Hysteria: The Def Leppard Story
1707|18882|Mystic River
1708|8207|Princess of Thieves
1709|21073|The Wedding Singer
1710|12952|Monster Island
1711|17509|Hooper
1712|15418|The Big Heat
1713|20517|Taken
1714|16865|The Flamingo Kid
1715|20359|Storm of the Century
1716|21462|The Bonfire of the Vanities
1717|17383|Heartbreakers
1718|16434|Dirty Mary Crazy Larry
1719|19798|The Ruling Class
1720|19649|The Rescuers Down Under
1721|19200|Pan Tadeusz
1722|22020|Slash
1723|21069|The Wedding Date
1724|20232|South Pacific
1725|19861|The Sandlot
1726|17073|Get Smart, Again!
1727|16179|Curly Sue
1728|18237|Lightning Jack
1729|21731|Its a Mad Mad Mad Mad World
1730|21959|The Rocky Horror Picture Show
1731|15358|Bend of the River
1732|16031|Commando
1733|19317|Picnic
1734|17583|The Hunchback of Notre Dame
1735|15887|Chasing Amy
1736|21975|Satans Little Helper
1737|18043|Kiss the Bride
1738|21962|Rollerball
1739|15052|American Crime
1740|22010|Shrek 2
1741|16909|For Love of the Game
1742|20677|Tiptoes
1743|18421|MacArthur
1744|15396|The Beverly Hillbillies
1745|16749|The Fan
1746|15421|The Big Knife
1747|20973|The Verdict
1748|16038|Company Business
1749|17290|Haiku Tunnel
1750|14955|The Accidental Tourist
1751|15305|Be Cool
1752|15469|Black
1753|21294|Yaadein...
1754|21998|Seven Girlfriends
1755|16225|Dangerous Game
1756|20116|Six Ways to Sunday
1757|16688|The Event
1758|16743|The Family Jewels
1759|18041|Kiss Tomorrow Goodbye
1760|21160|White Water Summer
1761|22082|Thunderball
1762|15359|Beneath Loch Ness
1763|15044|Amateur
1764|16314|Deathstalker
1765|21022|Wake of Death
1766|15843|Cecil B. DeMented
1767|16538|Drive Me Crazy
1768|19324|Pieces of April
1769|20645|Throttle
1770|18928|Neverwhere
1771|15472|Black Beauty
1772|21416|Bachelor Party
1773|20098|Sinbad: Legend of the Seven Seas
1774|20113|Sitcom
1775|21589|Escape from New York
1776|15711|Bunny Lake Is Missing
1777|20790|The Triangle
1778|16696|Evita
1779|21730|The Italian Job
1780|16473|Dominion: Prequel to the Exorcist
1781|20172|Sniper 3
1782|21437|Beyond Re-Animator
1783|14924|54
1784|7455|Starting Over
1785|16288|Dead Man on Campus
1786|16872|Flatliners
1787|17671|Im with Lucy
1788|21622|Forces of Nature
1789|16205|Daddy and Them
1790|19908|School Ties
1791|19043|Oceans Twelve
1792|20891|Under Siege 2: Dark Territory
1793|16444|Disorderlies
1794|20061|Show Boat
1795|22163|Citizen Kane
1796|17578|Hum Tumhare Hain Sanam
1797|20479|Sweet Liberty
1798|16034|The Commitments
1799|20725|Topkapi
1800|15252|Bamboozled
1801|22245|Shock Corridor
1802|19067|Oldboy
1803|17887|Joe Somebody
1804|8230|The Brotherhood of Satan
1805|15961|City of Industry
1806|21629|Frida
1807|17885|Joe Goulds Secret
1808|15250|Ballistic: Ecks vs. Sever
1809|15402|Beyond Borders
1810|16932|Fortress 2
1811|16993|The Front
1812|21563|Do the Right Thing
1813|17421|Henry Fool
1814|16036|Communion
1815|7643|Bark!
1816|15078|Amos & Andrew
1817|21043|The War Zone
1818|17050|Gaudi Afternoon
1819|18730|Montana
1820|18844|My Babys Daddy
1821|20572|Ten
1822|16359|Desert Hearts
1823|18316|Longitude
1824|20224|Godzilla, King of the Monsters!
1825|15582|Bopha!
1826|16503|Down in the Delta
1827|9515|Full Metal Panic!
1828|15707|Bullitt
1829|19229|The Party
1830|15437|Bigger Than the Sky
1831|18587|Meet Wally Sparks
1832|15949|The Circus
1833|17218|The Great Santini
1834|20150|The Sluggers Wife
1835|18074|Kung Pow: Enter the Fist
1836|20933|Used Cars
1837|20031|Shes Having a Baby
1838|18324|Loose Cannons
1839|15174|Assault on Precinct 13
1840|18243|Lil Abner
1841|21647|Glengarry Glen Ross
1842|16967|Free Willy 2: The Adventure Home
1843|17884|Joe
1844|20739|Touchez pas au grisbi
1845|15054|American Dreamer
1846|22232|Rambo: First Blood Part II
1847|18612|Merci pour le chocolat
1848|18042|Kiss of the Dragon
1849|13128|The Four Seasons
1850|15765|Canadian Bacon
1851|17378|Hear No Evil
1852|17049|Gattaca
1853|18268|Little Murders
1854|19817|The Russians Are Coming the Russians Are Coming
1855|20330|Steal Big Steal Little
1856|17534|House
1857|19767|Ronin
1858|16406|Dickie Roberts: Former Child Star
1859|20674|Tin Men
1860|21282|Worth Winning
1861|5692|Psycho III
1862|17411|Hellfighters
1863|16373|Detention
1864|16991|From the Hip
1865|22151|The Woodsman
1866|20755|Trading Places
1867|15872|The Charge of the Light Brigade
1868|20217|Sorority House Massacre
1869|17758|The Inspector General
1870|21402|All That Jazz
1871|16273|Days of Wine and Roses
1872|21939|Rear Window
1873|18528|Marjorie Morningstar
1874|18044|Kiss the Girls
1875|19206|The Paper Chase
1876|18867|My Man Godfrey
1877|16410|Digging to China
1878|16142|Criss Cross
1879|21822|Marnie
1880|15910|Children Shouldnt Play with Dead Things
1881|16573|Earthly Possessions
1882|19729|Robin Hood: Prince of Thieves
1883|19223|Particles of Truth
1884|15640|Breakout
1885|16557|The Duellists
1886|15539|Blue Crush
1887|15986|Clockwatchers
1888|18187|Legally Blonde
1889|20109|Sister Act 2: Back in the Habit
1890|17148|The Godson
1891|18923|Never Been Kissed
1892|21002|Volcano
1893|16098|Country
1894|7595|Attack
1895|16390|The Devils Rain
1896|17381|The Heartbreak Kid
1897|17047|The Gathering Storm
1898|19388|Portrait of Jennie
1899|18527|Marias Lovers
1900|17276|The Guns of Navarone
1901|16211|Damn Yankees!
1902|16222|Dangerous Beauty
1903|16160|Croupier
1904|19083|On a Clear Day You Can See Forever
1905|16283|The Dead Hate the Living!
1906|17620|I Know What You Did Last Summer
1907|18471|Malice
1908|20888|Under Fire
1909|19406|Praise
1910|15957|City Slickers
1911|21873|The Nutty Professor
1912|17268|Guncrazy
1913|21809|Mad Max
1914|15463|The Bishops Wife
1915|21339|Zardoz
1916|18099|The Ladykillers
1917|17159|The Golden Voyage of Sinbad
1918|15050|The American Astronaut
1919|20008|Shanghai Surprise
1920|19651|Resident Evil
1921|15010|Alice
1922|16821|Final Fantasy: The Spirits Within
1923|21581|The Edge
1924|15375|Best Laid Plans
1925|17621|I Know Where Im Going!
1926|17210|Great Expectations
1927|21774|Lawrence of Arabia
1928|22175|The Bridge on the River Kwai
1929|14931|The 7th Voyage of Sinbad
1930|17003|Fun in Acapulco
1931|17362|The Haunting
1932|15534|Blown Away
1933|17782|Inventing the Abbotts
1934|18522|Mansfield Park
1935|18257|Little Black Book
1936|21247|The Wizard of Gore
1937|20649|Thunderbirds
1938|15457|Bird on a Wire
1939|15677|Brother to Brother
1940|17779|Invasion U.S.A.
1941|20518|The Taking of Pelham One Two Three
1942|21571|Double, Double, Toil and Trouble
1943|17375|Head Over Heels
1944|19184|PCU
1945|16194|D-Day the Sixth of June
1946|18954|Night Patrol
1947|21566|Donnie Darko
1948|21229|Wit
1949|17616|I Drink Your Blood
1950|14988|Against All Odds
1951|19331|Pink Floyd The Wall
1952|21824|Master and Commander: The Far Side of the World
1953|22076|That Thing You Do!
1954|19419|Pretty in Pink
1955|17168|Good Bye Lenin!
1956|17316|Hangmans Curse
1957|15960|City of Angels
1958|19147|The Other Sister
1959|20002|Shallow Hal
1960|15779|Captain Blood
1961|15993|Clueless
1962|18388|Love and a .45
1963|19996|Shalako
1964|20840|The Turning Point
1965|21158|White Sands
1966|22027|Sophies Choice
1967|21648|Gloria
1968|6906|Girls! Girls! Girls!
1969|21189|The Wild Thornberrys Movie
1970|17256|Guess Whos Coming to Dinner
1971|17685|In & Out
1972|20154|Small Soldiers
1973|16458|Doctor Zhivago
1974|16704|Exodus
1975|21880|Once Upon a Time in Mexico
1976|15648|Bride of Chucky
1977|20030|Shes All That
1978|20034|Shes Too Young
1979|17486|Holy Man
1980|21407|American Wedding
1981|17549|The House on Carroll Street
1982|18231|Life-Size
1983|16641|End, The
1984|15554|Boccaccio 70
1985|20449|SuperBabies: Baby Geniuses 2
1986|17479|Holiday Heart
1987|14895|1969
1988|16206|Dagon
1989|15062|American Outlaws
1990|17636|I Want to Live!
1991|21137|Wheres Poppa?
1992|21827|The Matrix Revolutions
1993|22172|Bob & Carol & Ted & Alice
1994|15821|The Cassandra Crossing
1995|19210|The Paradine Case
1996|22079|The Third Man
1997|17348|Harriet the Spy
1998|20619|The Thirteenth Floor
1999|22069|Ted Bundy
2000|21634|From Russia with Love
2001|16275|De-Lovely
2002|15913|Children of a Lesser God
2003|16664|Ernest Goes to Africa
2004|17766|Internal Affairs
2005|18172|Laws of Attraction
2006|21432|Beaches
2007|14957|The Accused
2008|19526|Quiz Show
2009|15999|Cocktail
2010|20935|V.I. Warshawski
2011|19944|Secret Window
2012|21888|Out of Africa
2013|16042|Con Air
2014|17791|Iron Eagle
